,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,date,time
14,@barrygoldblatt God bless Spirit's glorified sky Megabus.,FALSE,0,barrygoldblatt,4/29/16 15:05,FALSE,7.26064E+17,726064797419208000,34476699,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BBolander,0,FALSE,FALSE,NA,NA,4/29/16,15:05:11
15,"Where's next on your list? 
We're thinking #Brussels https://t.co/mHYM8huCn8 #travel https://t.co/FrVgKfQQcA",FALSE,3,NA,4/29/16 15:00,FALSE,NA,726063708640792000,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",megabusuk,1,FALSE,FALSE,NA,NA,4/29/16,15:00:52
16,Very scared of getting the Megabus,FALSE,0,NA,4/29/16 15:00,FALSE,NA,726063627413950000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CallumHuthwaite,0,FALSE,FALSE,NA,NA,4/29/16,15:00:33
17,The megabus never fails to reek of a giant hoagie,FALSE,0,NA,4/29/16 15:00,FALSE,NA,726063497440845000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MiMiRusso1,0,FALSE,FALSE,NA,NA,4/29/16,15:00:02
18,"@megabusuk hi, any idea how late the megabus from East Midlands Parkway to York is?",FALSE,0,megabusuk,4/29/16 14:53,FALSE,NA,726061791416037000,210765002,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ChrissieBits,0,FALSE,FALSE,NA,NA,4/29/16,14:53:15
19,@JohnstoneFrazer what about that megabus? í _í¸‚,FALSE,0,JohnstoneFrazer,4/29/16 14:44,FALSE,7.26059E+17,726059689801322000,604517543,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Chris_Evans99,0,FALSE,FALSE,NA,NA,4/29/16,14:44:54
20,"Tryna go to ATL in June for the low low...help!!! What's the best way...MegaBus, Greyhound?",FALSE,1,NA,4/29/16 14:28,FALSE,NA,726055664519401000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",hypekyzeta,0,FALSE,FALSE,NA,NA,4/29/16,14:28:54
21,Depends..... What are the chances the bus catches on fire and I lose all my belongings?  https://t.co/dPSE6Sc8a2,FALSE,0,NA,4/29/16 14:22,FALSE,NA,726054061003284000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",pcarney16,0,FALSE,FALSE,NA,NA,4/29/16,14:22:32
22,@fireproofsoph I thought coaches are cheaper like megabus is pretty cheap and yeah true because your from Scotland aren't ya??,FALSE,0,fireproofsoph,4/29/16 14:13,FALSE,7.26051E+17,726051723991760000,2360843067,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nialltours,0,FALSE,FALSE,NA,NA,4/29/16,14:13:15
23,"Arrived bang on time, great trip down, so easy and so cheap! I'll be using @megabus again",FALSE,0,NA,4/29/16 14:05,FALSE,NA,726049696494575000,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",lydstime,0,FALSE,FALSE,NA,NA,4/29/16,14:05:11
24,Every time I get the megabus between London and Newcastle I regret it every time. Yet here I am again....,FALSE,0,NA,4/29/16 14:04,FALSE,NA,726049450314047000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KatyFawcett123,0,FALSE,FALSE,NA,NA,4/29/16,14:04:12
25,It's so hot on this Megabus the guy in front of me's hair is getting greasier every minute,FALSE,0,NA,4/29/16 14:02,FALSE,NA,726049105261285000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jessdwi,0,FALSE,FALSE,NA,NA,4/29/16,14:02:50
26,@CaCaz174 @megabus It's can be hard to predict how long the bus will take when the traffic is moving so slowly. Hopefully it'll make up time,FALSE,0,CaCaz174,4/29/16 14:01,FALSE,7.26047E+17,726048847538061000,2776620725,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",megabusuk,0,FALSE,FALSE,NA,NA,4/29/16,14:01:49
27,"@megabusuk @megabus yes sorry. Bus has just arrived, very late and limited comms from attendant on stand.",FALSE,0,megabusuk,4/29/16 13:55,FALSE,7.26047E+17,726047269393453000,210765002,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CaCaz174,0,FALSE,FALSE,NA,NA,4/29/16,13:55:32
28,"@CaCaz174 @megabus We don't have a 12:10 bus from Birmingham to Manchester, do you mean 14:10?",FALSE,0,CaCaz174,4/29/16 13:54,FALSE,7.26043E+17,726047048068374000,2776620725,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",megabusuk,0,FALSE,FALSE,NA,NA,4/29/16,13:54:40
29,Shout out to megabus for being half an hour lateí _í_•,FALSE,0,NA,4/29/16 13:53,FALSE,NA,726046842153218000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Lvcifer__,0,FALSE,FALSE,NA,NA,4/29/16,13:53:51
30,this megabus driver talks too much I think he's bored lol,FALSE,1,NA,4/29/16 13:53,FALSE,NA,726046814093348000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ImaniTsunami,0,FALSE,FALSE,NA,NA,4/29/16,13:53:44
31,Missing your megabus by a minute í _í_‚í _í_‚ #justsarathings,FALSE,7,NA,4/29/16 13:49,FALSE,NA,726045847373357000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",senorita_sarraa,0,FALSE,FALSE,NA,NA,4/29/16,13:49:53
32,"Did someone really just start clapping when the megabus pulled into the station, it's bad enough on easyjet cmon",FALSE,2,NA,4/29/16 13:49,FALSE,NA,726045738724110000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ellieIngerland,0,FALSE,FALSE,NA,NA,4/29/16,13:49:28
33,@megabus 2.10 even,FALSE,0,CaCaz174,4/29/16 13:40,FALSE,7.26043E+17,726043358460780000,2776620725,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CaCaz174,0,FALSE,FALSE,NA,NA,4/29/16,13:40:00
34,@megabus where is 12.10 Birmingham to Manchester bus? Very cold people hanging  around on Hill Street now.,FALSE,0,megabus,4/29/16 13:39,FALSE,NA,726043147554410000,30965315,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CaCaz174,0,FALSE,FALSE,NA,NA,4/29/16,13:39:10
35,@fineskylark like its cramped as it is on the megabus so I could do without your sweaty self taking up room ty,FALSE,0,fineskylark,4/29/16 13:37,FALSE,7.26038E+17,726042824274284000,175775259,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",fineskylark,0,FALSE,FALSE,NA,NA,4/29/16,13:37:53
36,Trying to astral project on the megabus,FALSE,2,NA,4/29/16 13:35,FALSE,NA,726042333070893000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",syddabon,0,FALSE,FALSE,NA,NA,4/29/16,13:35:56
37,@Dlewis92Lewis Sorry to hear that. If you can tell me which megabus journey then I may be able to track the vehicle,FALSE,0,Dlewis92Lewis,4/29/16 13:35,FALSE,7.26042E+17,726042243707052000,2255464407,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",megabusuk,0,FALSE,FALSE,NA,NA,4/29/16,13:35:34
38,A packed megabus is not what I wanna be stuck on when I'm this hungoverí _í¸·,FALSE,1,NA,4/29/16 13:32,FALSE,NA,726041528716632000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BryonyNicholson,0,FALSE,FALSE,NA,NA,4/29/16,13:32:44
39,"Is it madness to travel to Glasgow from London by overnight Megabus? Sorry, Megabus 'Gold'? I'm high maintenance but also, stingy.",FALSE,1,NA,4/29/16 13:30,FALSE,NA,726040916520259000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DJAFrankenstein,0,FALSE,FALSE,NA,NA,4/29/16,13:30:18
40,Tip Sheet: The pros and cons of Megabus travel - https://t.co/AZR2PrVySR,FALSE,0,NA,4/29/16 13:26,FALSE,NA,726040009468481000,NA,"<a href=""http://www.rssground.com/"" rel=""nofollow"">RSSGround</a>",hostalworld,0,FALSE,FALSE,NA,NA,4/29/16,13:26:42
41,@oliviafrd Iv never stepped foot on a megabus n never will Omg lol,FALSE,0,oliviafrd,4/29/16 13:23,FALSE,7.26039E+17,726039209253953000,2932195090,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",olivia_csk,0,FALSE,FALSE,NA,NA,4/29/16,13:23:31
42,Fine scran in Mother India this evening. Cheap whisky in coke bottles on the Megabus to Aberdeen tomorrow. The sublime to the ridiculous.,FALSE,1,NA,4/29/16 13:20,FALSE,NA,726038406774534000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",libertinejay,0,FALSE,FALSE,NA,NA,4/29/16,13:20:19
43,@gapwriter i was riding the @megabus yesterday and saw other cars passing me on the road... people texting &amp; driving &amp; having conversations+,FALSE,0,gapwriter,4/29/16 13:14,FALSE,7.26034E+17,726036908577423000,103682558,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",misskimari,0,FALSE,FALSE,NA,NA,4/29/16,13:14:22
44,@megabusuk is the 2.20 Megabus from Newcastle to London on time?,FALSE,0,megabusuk,4/29/16 13:06,FALSE,NA,726034845063860000,210765002,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EmelyeFerguson,0,FALSE,FALSE,NA,NA,4/29/16,13:06:10
45,Venturing to the city that never sleeps for the weekend! í _íºçí _í·_í _í_Œí _í¿» #megabus #NYC,FALSE,1,NA,4/29/16 12:56,FALSE,NA,726032409314115000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sasspants07,0,FALSE,FALSE,NA,NA,4/29/16,12:56:30
46,"And now iâ€™m on a bus at 5 AM headed down to #LA for the weekend. Donâ€™t worry Mom- itâ€™s a #megabus, not a #greyhound #classylikethat",FALSE,0,NA,4/29/16 12:56,FALSE,NA,726032361582907000,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",gloganvlog,0,FALSE,FALSE,NA,NA,4/29/16,12:56:18
47,"And now iâ€™m on a bus at 5 AM headed down to #LA for the weekend. Donâ€™t worry Mom- itâ€™s a #megabus, not a #greyhound #classylikethat",FALSE,0,NA,4/29/16 12:56,FALSE,NA,726032361448726000,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",gadrianrandall,0,FALSE,FALSE,NA,NA,4/29/16,12:56:18
48,Megabus to Toulouse is Â£2 return like legit baggage and everything... but the coach journey is almost 28 hours...,FALSE,0,NA,4/29/16 12:53,FALSE,NA,726031544058535000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JadeWindle3,0,FALSE,FALSE,NA,NA,4/29/16,12:53:03
49,Megabus is a great place to make chitchat.,FALSE,2,NA,4/29/16 12:49,FALSE,NA,726030723837222000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",syddabon,0,FALSE,FALSE,NA,NA,4/29/16,12:49:48
50,"If there's ever an Olympics for pissing while on a Megabus, I'll get a gold medal. No small feat, that. #branding",FALSE,2,NA,4/29/16 12:46,FALSE,NA,726029894388486000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bionicbigfoot,0,FALSE,FALSE,NA,NA,4/29/16,12:46:30
51,"Can't wait to remember that I was listening to ""Grammys"" by @Drake &amp; @1future on a Megabus to Boston, when I'm en route to the 2023 Grammys",FALSE,0,NA,4/29/16 12:40,FALSE,NA,726028271331250000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",runnn_JMC,0,FALSE,FALSE,NA,NA,4/29/16,12:40:03
52,There's an older couple boozing it up before getting on the Megabus and they're singing Hakuna Matata together. What a wonderful phrase.,FALSE,0,NA,4/29/16 12:28,FALSE,NA,726025458819698000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ldmcphee,0,FALSE,FALSE,NA,NA,4/29/16,12:28:52
53,"Yeah ok so some people have private jets, but my Megabus journey cost me 90p so who's the real winner here í _í_‹í _í¿_í _í¸‚",FALSE,2,NA,4/29/16 12:20,FALSE,NA,726023390386069000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",amyjolly_,0,FALSE,FALSE,NA,NA,4/29/16,12:20:39
54,CCTV footage of alleged stabbing on Megabus played to court of...: CCTV footage of an alleged murder bid on b... https://t.co/Zi0QB04S3q,FALSE,0,NA,4/29/16 12:19,FALSE,NA,726023039977021000,NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",ILoveGlosUK,0,FALSE,FALSE,NA,NA,4/29/16,12:19:16
55,how can megabus make any money when they charge Â£2,FALSE,0,NA,4/29/16 12:14,FALSE,NA,726021823301824000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",carlyslaejepsen,0,FALSE,FALSE,NA,NA,4/29/16,12:14:26
56,CCTV footage of alleged stabbing on Megabus played to court of... https://t.co/NhyMyU6kbt #Gloucestershire,FALSE,0,NA,4/29/16 12:05,FALSE,NA,726019484645892000,NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",DailyGLOUCESTER,0,FALSE,FALSE,-2.27672976,51.88913974,4/29/16,12:05:08
57,"Why @megabus is a safe, budget-friendly #roadtrip alternative https://t.co/qaiD4SIL05 #travel #ad https://t.co/r6JoFUQNIw by @backroadplanet",FALSE,3,NA,4/29/16 12:02,FALSE,NA,726018809367289000,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",RyanBiddulph,0,FALSE,FALSE,NA,NA,4/29/16,12:02:27
58,This ride back to VT on the megabus should be a blast í _í¸·,FALSE,0,NA,4/29/16 11:57,FALSE,NA,726017462345584000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KaraSantaw,0,FALSE,FALSE,NA,NA,4/29/16,11:57:06
59,This article is perfect to show why we need to #ProtectSmallClaims! https://t.co/HXDxBtvtLl https://t.co/kosUeyhHiD,FALSE,0,NA,4/29/16 11:50,FALSE,NA,726015728550350000,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",Jigsaw_Law,0,FALSE,FALSE,NA,NA,4/29/16,11:50:13
60,Cackling at the clown motel episode of @kateleth's @LTLCast in a full megabus. been saving these for travels &amp; its perfect í _í±Œ,FALSE,0,NA,4/29/16 11:45,FALSE,NA,726014474461798000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kissakerho,0,FALSE,FALSE,NA,NA,4/29/16,11:45:14
61,"CCTV footage of alleged stabbing on Megabus played to court of school children
https://t.co/nAE4pOGlSh https://t.co/6BdmK1lI7X",FALSE,0,NA,4/29/16 11:39,FALSE,NA,726013085803266000,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",GlosEcho,0,FALSE,FALSE,NA,NA,4/29/16,11:39:42
62,"Here goes nothing. 
3am Megabus to Chicago then to Shanghai-Kunming-Chiang Mai. 
#Spacebagâ€_ https://t.co/t8pXE4Dxdd",FALSE,0,NA,4/29/16 11:15,FALSE,NA,726007100342587000,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",corysever,0,FALSE,FALSE,NA,NA,4/29/16,11:15:55
63,Megabus to France is Â£2 more expensive than a return to Kettering,FALSE,2,NA,4/29/16 10:42,FALSE,NA,725998805141823000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Nathe__,0,FALSE,FALSE,NA,NA,4/29/16,10:42:58
64,"got to my megabus way too early, major tactical error",FALSE,0,NA,4/29/16 10:34,FALSE,NA,725996577349836000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CateCarrejo,0,FALSE,FALSE,NA,NA,4/29/16,10:34:07
65,@rtv6 @megabus 4th accident in Indiana in 4 years? At least they're consistent.,FALSE,0,rtv6,4/29/16 10:29,FALSE,7.25867E+17,725995417289261000,14408705,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NomieApp,0,FALSE,FALSE,NA,NA,4/29/16,10:29:30
66,on the megabus now. fingers crossed no one sits next to me. they'll get elbows cos I'm gonna crochet obvs. (not as bad as me knitting tho),FALSE,1,NA,4/29/16 10:25,FALSE,NA,725994307497410000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kissakerho,0,FALSE,FALSE,NA,NA,4/29/16,10:25:05
67,Hello it is 6:30am and I am riding your megabus.,FALSE,3,NA,4/29/16 10:21,FALSE,NA,725993297311846000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",syddabon,0,FALSE,FALSE,NA,NA,4/29/16,10:21:05
68,American Airlines feeling like a winged Megabus rn. I don't remember it being this janky.,FALSE,5,NA,4/29/16 10:20,FALSE,NA,725993128172376000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",donwill,0,FALSE,FALSE,NA,NA,4/29/16,10:20:24
69,I currently have the most pressed megabus driver ever.,FALSE,0,NA,4/29/16 10:17,FALSE,NA,725992297360416000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ImaniTsunami,0,FALSE,FALSE,NA,NA,4/29/16,10:17:06
70,Praying for a megabus with plugs,FALSE,1,NA,4/29/16 10:05,FALSE,NA,725989265218396000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Caitlinwoods,0,FALSE,FALSE,NA,NA,4/29/16,10:05:03
71,"Convo between megabus drivers: ""what's this big building by yur"" ""Isn't it that nasteral history museum?"" My life is in these hands #Despair",FALSE,1,NA,4/29/16 10:04,FALSE,NA,725989081856000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",donohuuge,0,FALSE,FALSE,NA,NA,4/29/16,10:04:19
72,@Alienscum I just looked up train tickets it's like Â£100 from here fuck.....come on megabus lets get sickening,FALSE,0,Alienscum,4/29/16 9:57,FALSE,7.25986E+17,725987270457737000,35377853,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",nickelbacklovr,0,FALSE,FALSE,NA,NA,4/29/16,9:57:08
73,guys i can take the megabus to atlanta and miami WHY DIDNT ANYBODY TELL ME,FALSE,0,NA,4/29/16 9:56,FALSE,NA,725987187603345000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dogsruIe,0,FALSE,FALSE,NA,NA,4/29/16,9:56:48
74,Every time I get the megabus the are bare free seats and yet people choose the seat next to me,FALSE,0,NA,4/29/16 9:53,FALSE,NA,725986271353552000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MattBunker96,0,FALSE,FALSE,NA,NA,4/29/16,9:53:09
75,@megabus Your bus driver refused to turn down air conditioning fan ... Traveling to New Orleans at 4am. Temperature inside: 60 deg F,FALSE,0,megabus,4/29/16 9:48,FALSE,NA,725985018955194000,30965315,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",j4nwar,0,FALSE,FALSE,NA,NA,4/29/16,9:48:11
76,Counting down T-minus 1.5 more hours on the #Megabus and I will be in #Atlanta.,FALSE,2,NA,4/29/16 9:34,FALSE,NA,725981528010825000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kate_adair,1,FALSE,FALSE,NA,NA,4/29/16,9:34:19
77,Excited to see my illustration on a bottle tonight at @PissedModernism. Not so excited to be a megabus right now.,FALSE,4,NA,4/29/16 9:14,FALSE,NA,725976500282003000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sophie3141,2,FALSE,FALSE,NA,NA,4/29/16,9:14:20
78,Look forward to boarding the Megabus and heading for home this afternoon.,FALSE,1,NA,4/29/16 9:08,FALSE,NA,725975049434484000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DaveWongWales,0,FALSE,FALSE,NA,NA,4/29/16,9:08:34
79,"On my way to work, I saw the @megabus, involved in crash in downtown #Indy, being hitched to a wrecker. 1 person was hurt in crash. @rtv6",FALSE,4,NA,4/29/16 8:42,FALSE,NA,725968408400023000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MarcMullins1,1,FALSE,FALSE,NA,NA,4/29/16,8:42:11
80,U know wen U were a 2nd former &amp; EVERYONE senior would kick you out your seat? Think I just inadvertently did that to someone on the Megabus,FALSE,1,NA,4/29/16 8:02,FALSE,NA,725958404439683000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",waynesanders1,0,FALSE,FALSE,NA,NA,4/29/16,8:02:25
81,WIDE awake at 3am on the overnight #megabus back to NYC. Work is going to be long tomorrow... #nosleep,FALSE,0,NA,4/29/16 7:52,FALSE,NA,725955975115620000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",shantheman27,0,FALSE,FALSE,NA,NA,4/29/16,7:52:46
82,"9@9: This was the year the Megabus launched, but when was that? G&amp;H xx https://t.co/PSj6inXbtX",FALSE,0,NA,4/29/16 7:50,FALSE,NA,725955321437396000,NA,"<a href=""http://www.aiir.com"" rel=""nofollow"">Aiir</a>",965RadioWave,0,FALSE,FALSE,NA,NA,4/29/16,7:50:10
83,"Time to find out what @megabus is like, fingers crossed for clear motorways to Plymouth...",FALSE,0,NA,4/29/16 7:40,FALSE,NA,725952805580627000,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",lydstime,0,FALSE,FALSE,NA,NA,4/29/16,7:40:11
84,"@jenny_dodge @megabus try the family version ""99 bottles of milk"" :\",FALSE,1,jenny_dodge,4/29/16 6:16,FALSE,7.2593E+17,725931808626343000,1477290882,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",shxronok,0,FALSE,FALSE,NA,NA,4/29/16,6:16:44
85,"Nobody on this @megabus wants to sing ""99 bottles of beer"" with me .... :(",FALSE,6,NA,4/29/16 6:08,FALSE,NA,725929808257937000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jenny_dodge,0,FALSE,FALSE,NA,NA,4/29/16,6:08:48
